FUND CODE,foreign_cash,foreign_global_equity,foreign_interest_rate_instruments,foreign_other_equity,local_cash,local_interest_rate_instruments,local_listed_equity,local_listed_property,local_other_equity,local_physical_property
BGWG,0.026281639,0.973718361,0,0,0,0,0,0,0,0
CGCP,0.121303365,0,0.606186442,0.272510193,0,0,0,0,0,0
CGMP,0.015272324,0.701257204,0.283470472,0,0,0,0,0,0,0
CGSI,0.065,0,0.935,0,0,0,0,0,0,0
DCGS,0.023564275,0.976435725,0,0,0,0,0,0,0,0
EGLB,0.2257,0,0.7743,0,0,0,0,0,0,0
FSEA,0.006962611,0.993037389,0,0,0,0,0,0,0,0
GBBT,0,0,1,0,0,0,0,0,0,0
ISCE,0.001504416,0.998315849,0.000179735,0,0,0,0,0,0,0
ISCW,0.000100665,0.9994601,0.000439235,0,0,0,0,0,0,0
ISDP,-0.000176201,1.000230601,-5.44E-05,0,0,0,0,0,0,0
ISSP,-3.56E-06,0.99996766,3.59E-05,0,0,0,0,0,0,0
K001,0.062302055,0.287382477,0.071350762,0.017189282,0.015184682,0.152315746,0.355242138,0.007624835,0.006768648,0.024639376
K002,0.062302055,0.287382477,0.071350762,0.017189282,0.015184682,0.152315746,0.355242138,0.007624835,0.006768648,0.024639376
K003,0.064765364,0.347483682,0.056652989,0.017167267,-0.023099635,0.056763927,0.437653195,0.009296648,0.008779435,0.024537129
K004,0,0,0,0.000323706,7.94965E-05,8.14981E-07,0,0.000140547,0,0.999455435
K006,0.0003,0,0,0,0.0044,0,0.9772,0.0181,0,0
K008,0.064765364,0.347483682,0.056652989,0.017167267,-0.023099635,0.056763927,0.437653195,0.009296648,0.008779435,0.024537129
K010,0.004,0,0,0.4185,-0.0016,0,0.557,0.0221,0,0
K015,-0.0581,0,0.0882,0.3023,0.1047,0.1575,0.3945,0.0109,0,0
K018,0,0,0,0,0.9212,0.0788,0,0,0,0
K019,0.089648343,0.605689685,0.287681852,0,0.011457575,0,0.005522545,0,0,0
K040,0.0048,0,0.0803,0.345,0.0288,0.101,0.3854,0.0547,0,0
K195,0.0106,0,0.002500012,0.418999983,0.026,0,0.534500004,0.0033,0.0041,0
K273,0.429995396,0,0.569648618,0,0.000355986,0,0,0,0,0
K274,0.9386,0,0.0614,0,0,0,0,0,0,0
K330,0.0444,0,0.0518,0.2811,0.1124,0.1129,0.3693,0.0016,0.0265,0
K341,0.0256,0,0,0.2943,0.0315,0.0151,0.633,0.0005,0,0
K379,0.0732,0,0.0779,0.1449,0.2989,0.27,0.1196,0.0013,0.0142,0
K402,0.001710853,0.973242092,0.000163227,0,0.016396044,0,0.008487784,0,0,0
K405,0.266272228,0.205579431,0.515275976,0,0.011217974,0,0.001654391,0,0,0
K422,0.054860497,0.24897865,0.104481773,0.016834445,0.032599117,0.258722026,0.249559371,0.005097622,0.004916064,0.023950434
K428,0.266272228,0.205579431,0.515275976,0,0.011217974,0,0.001654391,0,0,0
K429,0.089648343,0.605689685,0.287681852,0,0.011457575,0,0.005522545,0,0,0
K436,0,0,0,0.000323706,7.94965E-05,8.14981E-07,0,0.000140547,0,0.999455435
K437,0,0,0,0.000323706,7.94965E-05,8.14981E-07,0,0.000140547,0,0.999455435
K438,0.069566142,0.040609382,0.124325546,0.01486527,0.420446249,0.294440497,0.008678375,3.49641E-06,0.002200747,0.024863549
K439,0.054860497,0.24897865,0.104481773,0.016834445,0.032599117,0.258722026,0.249559371,0.005097622,0.004916064,0.023950434
K440,0.039833045,0.195710952,0.143261815,0.016898913,0.086568528,0.335182037,0.152395226,0.002675524,0.003596591,0.02387737
K448,0,0,0,0.000323706,7.94965E-05,8.14981E-07,0,0.000140547,0,0.999455435
K550,0.0256,0,0,0.2943,0.0315,0.0151,0.633,0.0005,0,0
K559,0,0,0,0.000323706,7.94965E-05,8.14981E-07,0,0.000140547,0,0.999455435
K621,0.001710853,0.973242092,0.000163227,0,0.016396044,0,0.008487784,0,0,0
K622,0.065726051,0.708476926,0.207326053,0,0.012421727,0,0.006049243,0,0,0
K624,0.089648343,0.605689685,0.287681852,0,0.011457575,0,0.005522545,0,0,0
K625,0.266272228,0.205579431,0.515275976,0,0.011217974,0,0.001654391,0,0,0
K881,0.062302055,0.287382477,0.071350762,0.017189282,0.015184682,0.152315746,0.355242138,0.007624835,0.006768648,0.024639376
KE13,-0.0581,0,0.0882,0.3023,0.1047,0.1575,0.3945,0.0109,0,0
KE15,-0.0581,0,0.0882,0.3023,0.1047,0.1575,0.3945,0.0109,0,0
KE19,0.0004,0,0.9756,0,0.024,0,0,0,0,0
KE27,0.065726051,0.708476926,0.207326053,0,0.012421727,0,0.006049243,0,0,0
KG25,0.069566142,0.040609382,0.124325546,0.01486527,0.420446249,0.294440497,0.008678375,3.49641E-06,0.002200747,0.024863549
KG27,0.039833045,0.195710952,0.143261815,0.016898913,0.086568528,0.335182037,0.152395226,0.002675524,0.003596591,0.02387737
KG29,0.054860497,0.24897865,0.104481773,0.016834445,0.032599117,0.258722026,0.249559371,0.005097622,0.004916064,0.023950434
KG31,0,0,0,0.000323706,7.94965E-05,8.14981E-07,0,0.000140547,0,0.999455436
KG34,0.062302055,0.287382477,0.071350762,0.017189282,0.015184682,0.152315746,0.355242138,0.007624835,0.006768648,0.024639376
KG37,0.064765364,0.347483682,0.056652989,0.017167267,-0.023099635,0.056763927,0.437653195,0.009296648,0.008779435,0.024537129
KG53,0.0232,0,0.1137,0.217,0.0879,0.3639,0.1485,0.0171,0.0287,0
KG54,0.078699989,0,0.067299978,0.211500004,0.064500003,0.442900019,0.135100006,0,0,0
KH46,0,0,0,0.000323706,7.94965E-05,8.14981E-07,0,0.000140547,0,0.999455435
KN50,0,0,0,0,0,0,1,0,0,0
KN51,0,0,0,0,0,0,1,0,0,0
KN53,0,0,0,0,1,0,0,0,0,0
KN54,0,0.049764414,0,0,0.725698163,0.173858097,0.050679325,0,0,0
KN55,0,0.049764414,0,0,0.725698163,0.173858097,0.050679325,0,0,0
KN56,0,0.34888322,0,0,0.17246641,0.152079463,0.326570907,0,0,0
KN58,0,0,0,0,0,0,1,0,0,0
KN59,0,0,0,0,0,0,1,0,0,0
KN68,0,0,0,0.000323706,7.94965E-05,8.14981E-07,0,0.000140547,0,0.999455435
KN77,0.0444,0,0.0518,0.2811,0.1124,0.1129,0.3693,0.0016,0.0265,0
KN78,0.0106,0,0.002500012,0.418999983,0.026,0,0.534500004,0.0033,0.0041,0
KN79,0.0732,0,0.0779,0.1449,0.2989,0.27,0.1196,0.0013,0.0142,0
KN80,0.0048,0,0.0803,0.345,0.0288,0.101,0.3854,0.0547,0,0
KN92,0,0.274078163,0,0,0.34616636,0.178058921,0.201696556,0,0,0
